compared,azteca retas,bomberos,cancha azteca,garrafa,beisbol azteca,iglesia azteca,awa,skaus,bethel playas,mural acordeon,danza pavlova,parque lluvia,iglesia renovación,iglesia jesucristo,cbtis,arriba de cbtis,parque bc,peewee wings,iglesia testigos,cinepolis,fuente xocolatl,nopales,royal academy,pozito,le monde de jouet,eliza grill kitchen,la casa del maestro,mural casa de la cultura,mural danza,mural personas,beaven,dino,Iglesia playa,Aquamarino,Callejón playa,Bar La Zebra,Mural Ballena Playa,Mural Pescado,Cancha Playa,Motel Monumental,Clamatos playa,Pizza NY,Pizzas del Pacifico,Jim Morrison,Mural Máscara,Estatuas Playa,Mural Ballenas,Mural Cantinflas,Mural Pez Postal,Corazón Teletón,Lesly Grafiti,Mural Steve Jobs,Kotiki,Mural Mándela,Última Oportunidad,Mándale Minotauro,Corazón Playa,Corazón Vegetal,Terraza Vallarta,Gym Playa
danza pavlova,264.73772020624483,373.3381471267033,337.12717837635097,383.03324881790616,483.46061401111047,384.72839887380286,309.1077755411532,289.96596007117796,132.48950524475515,87.68842226884917,0.0,134.07168977826748,331.87036173783287,588.5278723221186,340.89555057231246,429.6319676187981,447.59379173531886,551.2352755403086,588.0885709652927,1344.348849964175,1209.2873888369131,1127.7569706723164,913.2523826960431,846.4982660939122,753.4408224937112,706.8308632197663,621.390098810723,483.3454442735547,454.46901588557165,469.722604310246,517.3987097007491,544.8627118825439,1099.4220010987592,1167.1863950543632,1220.0903424337068,1287.8425463153483,1257.7989082520305,1309.423689910947,1290.0373415138029,1322.350643059548,1340.854316956171,1364.666210653726,1381.7311767489362,1423.707614961724,1487.6375527997402,1511.8474407492313,1526.7602092339189,1540.1417158495512,1570.9150272373104,1617.6082756032129,1420.3885030863914,1536.3016157317547,1695.2652143248856,1717.0399073987767,1745.6801048588484,1760.111703756327,1784.6455204605759,1818.869024971287,1818.5588879659629,1889.205391083775
parque lluvia,382.60337753344515,491.23073936796743,466.3602423020212,510.6674241617532,593.1754554092743,484.6327748924952,420.3853309762365,412.4446076747761,223.00522191195432,185.46189527770926,134.07168977826748,0.0,304.5521252593717,538.2936645549528,207.40370681354767,316.6444832931722,339.76792609073624,471.5075662171288,517.9214520561975,1476.853738594313,1342.6466080097173,1259.1497442719035,1036.5037725449918,974.2739069173514,883.7930537178938,834.8153002910284,732.782277692358,604.54644759522,573.7534651747212,602.1580890430685,651.4647339649323,678.9240858888422,1195.7509450132163,1256.884457537764,1321.2748754517359,1392.5158468398124,1365.6995536354252,1414.950752535225,1400.4542843306238,1434.0347205001697,1452.4380159235711,1474.5103626967157,1494.8076484952837,1536.029142464426,1602.858434953006,1629.5072125338997,1643.189076673771,1658.5259790850428,1688.8141832658796,1736.7962472610307,1540.5072445464186,1659.1519082049117,1817.8243777934106,1838.5311219557857,1868.9164514498768,1882.737694661686,1907.4036367009473,1942.5013987124953,1942.672287803581,2014.005560096595
iglesia renovación,574.0315500911079,675.2528842589271,610.310672526706,518.6401689996641,505.3657567544521,389.16568926358354,382.15481378624554,419.2177384128683,260.17823121852456,277.1731480500953,331.87036173783287,304.5521252593717,0.0,259.3009003069599,348.7565755652501,560.7666717985297,591.367977658581,260.5,277.6180665950975,1548.627438023749,1403.3828712792529,1348.0111986552633,1181.5252602039452,1097.8739235905005,993.1206655789618,962.0155109976139,924.843260071673,772.2292256189221,749.2515322640322,709.3439233545319,719.4066417541612,745.185516901664,1016.5209700247211,1058.6824095072138,1151.9332637353607,1231.8771444019894,1216.282855342457,1256.4510443706115,1258.8377657585588,1296.147664195712,1313.7253494166885,1329.0256769904786,1360.6655824999764,1398.1174878027955,1474.7845532483718,1511.1133329105398,1519.281694123904,1542.7616407274327,1570.3439585644924,1623.2471379614383,1435.1509307734848,1565.0608814036596,1719.43263249829,1734.3434057302493,1773.3501962387463,1783.7083156446852,1808.7143357921395,1848.0456826063582,1850.9034854362344,1925.24910567438
iglesia jesucristo,833.061691112969,933.202677450081,864.600326914118,743.0503440548291,685.1377404580774,583.2376507050963,604.630377338089,652.8106819744909,517.1163599229868,536.3881312072443,588.5278723221186,538.2936645549528,259.3009003069599,0.0,497.82013749947885,723.676953964958,756.6004039782163,144.86536266478615,93.41030778238567,1764.8371756340582,1616.6462501425597,1573.9702078501994,1427.8280616376749,1339.21317272494,1231.848465721332,1206.357201371136,1181.9801674309092,1027.4353945625974,1005.7078631988517,953.9985170323903,952.5762680751604,976.7952666244856,1072.33509473485,1090.624541489875,1211.4455794628168,1296.9361641191133,1292.9810585232872,1322.7029665801765,1341.276848678154,1380.696180663943,1396.9032912123873,1405.3400286051772,1446.4839460222156,1479.3071720234443,1562.7059831587,1606.5907350037844,1609.7257719872662,1639.7076994391407,1664.278721999413,1720.1944179655973,1543.6819196324093,1679.4405450625513,1827.030735154721,1836.8642901695268,1882.2190291780603,1889.5577660923734,1914.3876103339157,1956.484152989745,1961.4642266684343,2037.0095966391518
cbtis,584.5144307029553,691.760356265087,672.9154850350822,707.055544989218,767.3011748329335,651.7283170923296,601.7927444727129,604.9365169999246,404.7001312082813,376.85623916820066,340.89555057231246,207.40370681354767,348.7565755652501,497.82013749947885,0.0,226.13618021006724,258.95105715173287,384.1484642686991,443.3577274616965,1684.1931491369987,1550.008821265221,1466.1172611015804,1238.1346450608673,1179.3033835701483,1090.3856463655418,1040.1419533890555,926.1777644167454,806.2393511234739,774.4021944700313,809.5350622425195,857.8968611668888,885.3974894927137,1341.8923438562424,1392.8127743526766,1473.1734207824957,1548.9818314299234,1527.137301620257,1572.526432750814,1565.4234571195104,1600.7185277868186,1618.8694891497585,1638.1884465774992,1663.2939541764708,1703.1609011775724,1774.1843489615164,1804.5681406087165,1816.257906383342,1834.6416858067953,1864.0596252266182,1913.965308071178,1719.7722528579184,1842.4960967394204,2000.3212815195466,2019.2076406353062,2052.4455608127587,2065.212504441129,2090.0522214767743,2126.5662811208117,2127.5587723491917,2199.9630746219354
arriba de cbtis,600.8214218051816,694.6007720266368,707.7272370058961,811.27911750519,908.0778934100312,801.1114297649234,734.1664980779223,719.5354379042077,539.021049125171,499.29425492388754,429.6319676187981,316.6444832931722,560.7666717985297,723.676953964958,226.13618021006724,0.0,33.01941852910197,605.2703774347461,665.8199580216863,1708.661216859562,1585.036600839236,1484.5881041218133,1224.7381109853648,1184.6208002985597,1110.3854358735077,1050.7457485043658,894.761956556044,806.8686756219998,772.6642191793276,851.6285275869989,919.1974014323582,945.6010194579952,1512.0107564762889,1571.5982816228832,1637.911730252885,1709.0472157608754,1681.746618846014,1731.3985735526062,1715.8466462070553,1748.9935877526823,1767.441250876532,1790.102685462485,1809.2027089300968,1850.7662442620895,1916.1653147106072,1941.1710985124419,1955.7421937719703,1969.615024846226,2000.2997417387226,2047.1946254569934,1850.0190815502417,1965.5350130943991,2124.554352540786,2146.5643345588314,2174.727180429766,2189.369201048558,2213.8566656628877,2247.7289505632125,2247.1780989053805,2317.3859679604516
parque bc,606.4122572145124,697.2623756520926,714.8885927191731,827.2776968467118,928.5485021796114,823.1147169744931,754.28895345219,737.4436680859087,560.8309657998567,520.1509444382467,447.59379173531886,339.76792609073624,591.367977658581,756.6004039782163,258.95105715173287,33.01941852910197,0.0,638.2534125251506,698.8272923262228,1710.803310027193,1588.9102542308674,1486.2347800061739,1222.3301376060397,1185.080461614316,1113.2290464230618,1052.4409898896943,890.9451494340153,808.3420026820331,774.0251370595143,858.8152636044609,928.740763830252,954.86631127085,1535.4831221801169,1596.294674049876,1660.4868110587329,1730.8777548111248,1702.80097721372,1753.0357685170031,1736.2589110210492,1769.062593352762,1787.537768803781,1810.6705543803378,1828.8739016126838,1870.6528414700574,1935.174291917914,1959.3703585846145,1974.353854429342,1987.5528393730817,2018.4007848789597,2064.8181930862584,1867.36381931856,1981.725599698404,2140.7979557398685,2163.252851148011,2190.6484008393495,2205.556924792466,2229.9762188193845,2263.4366158565163,2262.6584103218056,2332.4974563115816
peewee wings,811.4282633110582,917.2855854639819,860.9049370284736,778.6635962339578,751.3800509063306,639.5814979343916,641.3561666500136,679.716513996828,511.5997908521856,518.9905101251853,551.2352755403086,471.5075662171288,260.5,144.86536266478615,384.1484642686991,605.2703774347461,638.2534125251506,0.0,61.93143386035882,1808.661099321816,1662.9745821869917,1608.5061997082882,1437.139518105323,1356.0264317851627,1252.242979936402,1219.164360781597,1167.6626192954882,1020.2150563974245,994.9134785497682,967.0599760097613,979.763672831362,1005.6228614147553,1193.8596360125423,1218.655314106495,1332.6400431099164,1416.8560659784748,1409.224759149512,1442.3656159587279,1455.819914172079,1494.6781401358621,1511.411161828574,1522.1515620003154,1560.26894252241,1594.7692536853099,1676.1340168673864,1717.457578428067,1722.4045052484043,1750.1280379732223,1775.8586178522207,1830.8183215436752,1649.4282247190995,1783.2161766033864,1933.8567331888887,1945.6698557052273,1988.6582920401383,1997.1932958279228,2022.1398807451476,2063.2350707081346,2067.3822957547063,2142.578900320826
iglesia testigos,843.9071534238824,947.9892288417627,886.8122881985793,788.3592289051992,747.4325645835885,639.567580479186,649.8784886423,692.5876722119735,536.240485323516,548.2570168269624,588.0885709652927,517.9214520561975,277.6180665950975,93.41030778238567,443.3577274616965,665.8199580216863,698.8272923262228,61.93143386035882,0.0,1816.6272267308998,1669.7221093643097,1620.3199214969864,1459.1368610243524,1374.9118117173916,1269.515892811114,1239.4539633645131,1198.3317424653326,1047.9176664223198,1023.9065000770336,986.7051335125403,993.6702429377666,1018.9117930910409,1161.5369246821215,1181.96429036583,1300.5993095492554,1385.6684819248794,1380.3310039624555,1411.3522217363036,1427.984506918755,1467.1997714353695,1483.6228187110091,1492.9581481073071,1532.9384144511482,1566.4347448904473,1649.064569081514,1691.9295428001724,1695.8017363477372,1724.8752767664103,1749.9298893669998,1805.474178713171,1626.832436669493,1761.7923624536463,1910.7571661516804,1921.4288868703939,1965.798369365485,1973.6473193050476,1998.5338416449197,2040.2187938797153,2044.8447921786142,2120.262132095935
cinepolis,1111.4065134324162,1014.0622241756173,1012.7894794082333,1030.022199032623,1087.0082504286709,1181.7573741255014,1167.5380144988858,1130.4704955017623,1317.7297896761688,1327.9716618211398,1344.348849964175,1476.853738594313,1548.627438023749,1764.8371756340582,1684.1931491369987,1708.661216859562,1710.803310027193,1808.661099321816,1816.6272267308998,0.0,150.3174720383496,225.60765789307774,525.4929366794572,529.9105578302815,598.6887680589974,658.439556831149,846.8517209641839,902.5304972686519,936.8799863376312,874.7279770305738,836.3587196891057,809.2547892969185,1160.9406519284266,1257.6403698991217,1134.066943570793,1107.21880985648,1048.4695226853282,1102.0769176876902,1017.9485849982799,1006.8859101209035,1014.9575747291116,1053.477065388706,1003.1734358524451,1033.5745059259154,1006.3094651746053,967.2273739405849,1000.1452201055605,964.9972846075785,990.9271426295679,986.9798614460175,874.3440286866492,856.9378386440875,950.2536468227837,990.1483696901186,963.8175883952316,988.763369922248,1001.2868208959908,1001.4214691127808,988.4185252209714,1019.2053446190321
